,owner,explore_level,exist,DFA,RR,inital_state,resource
1 47,0.0,353.0,0.0,1.0,1.0,1.0,-61165049183.44862
1 48,0.0,17758.0,1.0,0.0,1.0,0.0,-1132973652.1490185
1 49,0.0,17758.0,1.0,0.0,1.0,0.0,-1132977962.7365553
1 50,0.0,17758.0,1.0,0.0,1.0,3.0,-1132978046.1356785
1 51,0.0,17758.0,1.0,0.0,1.0,1.0,-1132978050.1808798
1 52,0.0,17758.0,1.0,0.0,1.0,0.0,-1132978051.1808798
1 53,0.0,18239.0,0.0,1.0,1.0,0.0,-51379713911.95455
1 54,0.0,18239.0,1.0,0.0,1.0,0.0,-51379717395.34426
1 55,0.0,1.0,1.0,0.0,1.0,2.0,-51379707838.72173
1 56,0.0,18239.0,1.0,0.0,1.0,1.0,-51379718149.4824
1 57,0.0,18239.0,1.0,0.0,1.0,0.0,-51379716945.9422
1 58,0.0,2195.0,1.0,0.0,1.0,1.0,-51369415636.48027
1 59,0.0,35488.0,1.0,0.0,1.0,1.0,-3109609866.0295534
1 60,0.0,35488.0,1.0,0.0,1.0,2.0,-3109612703.248476
1 61,0.0,35488.0,1.0,0.0,1.0,1.0,-3109613126.340784
1 62,0.0,35488.0,1.0,0.0,1.0,1.0,-3109613099.178227
1 63,0.0,35488.0,1.0,0.0,1.0,1.0,-3109612745.387541
1 64,0.0,35488.0,1.0,0.0,1.0,1.0,-3109612453.163765
1 65,0.0,35488.0,1.0,0.0,1.0,1.0,-3109610009.0423403
1 66,0.0,35488.0,1.0,0.0,1.0,1.0,-3109609828.3974333
1 67,0.0,35488.0,1.0,0.0,1.0,2.0,-3109594195.0735865
1 68,406,2723,0,1,0,0,10942643.274232423
1 69,0.0,19619.0,1.0,0.0,1.0,0.0,-2644789988.656289
1 70,0.0,19619.0,1.0,0.0,1.0,0.0,-2643501871.0655317
1 71,0.0,19619.0,1.0,0.0,1.0,0.0,-2643541690.892703
1 72,0.0,19619.0,1.0,0.0,1.0,1.0,-2643541738.442686
1 73,0.0,19619.0,1.0,0.0,1.0,0.0,-2643541749.5385723
1 74,0.0,19619.0,1.0,0.0,1.0,0.0,-2643541743.0927696
1 75,0.0,19619.0,1.0,0.0,1.0,5.0,-2643541770.6688395
1 76,0.0,19619.0,1.0,0.0,1.0,2.0,-2643541743.6813564
1 77,0.0,12.0,0.0,1.0,1.0,0.0,-51881475367.73622
1 78,0.0,19619.0,1.0,0.0,1.0,3.0,-2643541736.2799497
1 79,0.0,19619.0,1.0,0.0,1.0,1.0,-2643541714.7562714
1 80,0.0,19619.0,1.0,0.0,1.0,1.0,-2643524667.1211104
1 81,0.0,19619.0,1.0,0.0,1.0,1.0,-2643523467.802677
1 82,0.0,7554.0,1.0,0.0,1.0,3.0,-4054332056.2210116
